loan_id,account_id,loan_date,loan_amount,duration,payments,status,district_id,frequency,account_date,clients,num_cards,card_issued,owner_gender,owner_birth,num_credits,total_credits,num_withdrawals,withdrawal_total,num_orders,order_total,district_name,region,no_of_inhibitants,no_of_municipalities_with_inhabitants_less_than_499,no_of_municipalities_with_inhabitants_between_500_to_1999,no_of_municipalities_with_inhabitants_between_1000_to_9999,no_of_municipalities_with_inhabitants_greater_than_10000,no_of_cities,ratio_of_urban_inhabitants,average_salary,unemployment_rate_95,unemployment_rate_96,no_of_enterpreneurs_per_1000_inhabitants,no_of_commited_crimes_95,no_of_commited_crimes_96
4959,2,1994-01-05,0.12968045882834903,0.25,0.3194878201124297,A,1,monthly,1993-02-26,2,0,1900-01-01,M,1945-02-04,152,18.272940503432512,326,17.785572082379872,2.0,0.7147839526913514,Hl.m. Praha,Prague,1.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4961,19,1996-04-29,0.04317902498975829,0.0,0.2310014574224443,B,21,monthly,1995-04-07,1,0,1900-01-01,F,1939-04-23,152,9.075469107551484,151,8.951212814645306,1.0,0.1694912976278476,Tabor,south Bohemia,0.05208186333394141,0.5761589403973509,0.22857142857142856,0.35,0.2,0.6,0.5007564296520425,0.22432859399684044,0.18309859154929578,0.18283166109253063,0.4883720930232558,0.01745247999622904,0.014925829014752746
4962,25,1997-12-08,0.04317902498975829,0.0,0.2310014574224443,A,68,monthly,1996-07-28,1,0,1900-01-01,M,1962-02-09,82,17.098112128146454,192,16.752643020594963,4.0,0.713003158389893,Frydek - Mistek,north Moravia,0.1600738986621141,0.09933774834437085,0.5714285714285714,0.9,0.4,0.5,0.3524962178517399,0.40239223651545925,0.5352112676056338,0.47826086956521735,0.1744186046511628,0.05662333989323466,0.05089646606053819
4967,37,1998-10-14,0.5351290454731668,1.0,0.5209244222361025,D,20,monthly,1997-08-18,1,0,1900-01-01,M,1952-08-26,36,5.6868306636155594,94,5.161670480549196,4.0,0.6922585847725288,Strakonice,south Bohemia,0.023943063266479193,0.6225165562913907,0.2,0.15,0.2,0.3,0.37065052950075644,0.09862333559016023,0.3380281690140845,0.35785953177257523,0.45348837209302323,0.008779269140574364,0.0066585894786141174
4968,38,1998-04-19,0.18052027857435476,0.75,0.20851551113887154,C,19,weekly,1997-08-08,1,0,1900-01-01,F,1940-01-30,48,3.5270709382151035,82,3.0170022883295147,4.0,0.6493380821181373,Prachatice,south Bohemia,0.0074062154729411115,0.33112582781456956,0.15714285714285714,0.15,0.2,0.3,0.2844175491679275,0.0658993455201986,0.4084507042253521,0.3957636566332218,0.45348837209302323,0.002132949952273772,0.002148260519858683
4973,67,1996-05-02,0.2747849242113888,0.25,0.6882156985217572,A,16,monthly,1994-10-19,1,0,1900-01-01,F,1944-06-13,102,26.07480549199084,280,25.620652173913037,3.0,0.9239970432094616,Jindrichuv Hradec,south Bohemia,0.043979513514815875,0.4900662251655629,0.3,0.5,0.2,0.7,0.34795763993948564,0.07154141277364026,0.12676056338028172,0.12374581939799331,0.3023255813953488,0.012444172097243663,0.01043586271495332
4986,97,1997-08-10,0.16710364604670216,0.0,0.8608161565688112,A,74,monthly,1996-05-05,2,1,1998-06-23,M,1942-01-28,67,7.333215102974834,207,6.731659038901599,5.0,0.8354949264162355,Ostrava - mesto,north Moravia,0.24183913703434723,0.0,0.0,0.0,0.2,0.0,1.0,0.5784247348228391,0.6338028169014085,0.5585284280936456,0.22093023255813954,0.21169233669970186,0.17775583135645853
4988,103,1997-12-06,0.444387546087669,0.5,0.7355819279616906,D,44,monthly,1996-03-10,1,0,1900-01-01,M,1967-09-21,84,10.027322654462235,101,9.59233409610984,1.0,0.4952086553323029,Chrudim,east Bohemia,0.05402570448107444,0.5099337748344371,0.37142857142857144,0.35,0.4,0.6,0.2889561270801816,0.03249830737982397,0.35211267605633806,0.37123745819397985,0.18604651162790697,0.015885174230193616,0.014630570459890652
4989,105,1998-12-05,0.5935477263416633,0.75,0.7332916926920675,C,21,monthly,1997-07-10,1,1,1998-06-07,F,1950-12-27,30,2.923226544622426,29,2.7262242562929058,1.0,0.4937168201061757,Tabor,south Bohemia,0.05208186333394141,0.5761589403973509,0.22857142857142856,0.35,0.2,0.6,0.5007564296520425,0.22432859399684044,0.18309859154929578,0.18283166109253063,0.4883720930232558,0.01745247999622904,0.014925829014752746
4990,110,1997-09-08,0.26900860303154445,0.5,0.438475952529669,C,36,monthly,1996-07-17,1,1,1998-02-26,M,1953-01-26,61,8.599977116704807,148,7.754782608695647,3.0,0.5148175525838317,Liberec,north Bohemia,0.10050149208523644,0.19205298013245034,0.2714285714285714,0.4,0.2,0.8,0.7760968229954616,0.24554276686978108,0.43661971830985913,0.4292084726867335,0.5813953488372093,0.058662015814468706,0.053390891782648976
4996,132,1996-11-06,0.14246210569438755,0.0,0.7355819279616906,A,40,after transaction,1996-05-11,2,1,1997-12-06,F,1945-07-03,79,14.705469107551489,119,14.31003432494278,1.0,0.4952086553323029,Teplice,north Bohemia,0.07339699793138817,0.059602649006622516,0.22857142857142856,0.3,0.6,0.7,0.7776096822995462,0.2723990069961634,0.8732394366197184,0.7402452619843924,0.18604651162790697,0.07224926053806903,0.06092507559637137
5002,173,1994-05-31,0.17040147480540763,0.0,0.8775765146783261,A,66,monthly,1993-11-26,2,0,1900-01-01,M,1939-11-30,156,15.134221967963388,416,14.402105263157905,5.0,1.16504267186345,Zdar nad Sazavou,south Moravia,0.07142992362313404,1.0,0.5857142857142857,0.1,0.6,0.4,0.2178517397881997,0.0907244414353419,0.4647887323943662,0.41137123745819393,0.2441860465116279,0.01683969879447083,0.012370315315773935
5005,176,1997-04-10,0.03836542400655469,0.0,0.20653758067874245,A,71,weekly,1996-08-12,1,0,1900-01-01,M,1967-09-24,82,16.948215102974828,192,16.126372997711666,4.0,0.4691418587460521,Novy Jicin,north Moravia,0.10188687687801386,0.033112582781456956,0.5,0.55,0.8,0.9,0.5416036308623299,0.12818776799819454,0.8028169014084507,0.5730211817168339,0.2441860465116279,0.049046064648416786,0.037742188374958005
5015,226,1998-07-12,0.17814420319541172,0.0,0.9169269206745784,C,70,monthly,1997-02-23,1,1,1997-12-05,F,1944-10-25,55,5.592665903890159,74,5.083878718535464,2.0,1.2121497211208925,Karvina,north Moravia,0.20872499853717133,0.0,0.02857142857142857,0.4,1.0,0.6,0.8472012102874434,0.4664861205145565,0.9014084507042254,0.8160535117056856,0.0,0.10676534015248824,0.09387185778718986
5027,276,1998-12-02,0.26618189266693976,0.5,0.4336872787840933,C,38,monthly,1997-12-08,1,1,1998-10-13,M,1971-10-19,27,4.492608695652174,38,3.813272311212814,2.0,0.6505275183119414,Louny,north Bohemia,0.03702763541490984,0.271523178807947,0.32857142857142857,0.2,0.4,0.3,0.3918305597579425,0.1929587000677048,0.9577464788732395,0.8695652173913043,0.26744186046511625,0.021624105869736857,0.01969069121045826
5032,290,1994-11-03,0.20264235968865218,0.75,0.2366229439933375,A,56,monthly,1993-12-02,1,0,1900-01-01,M,1940-08-27,160,24.082231121281456,331,23.656659038901594,3.0,0.5712653719508097,Breclav,south Moravia,0.07037410552329684,0.0728476821192053,0.6,0.7,0.2,0.7,0.18305597579425117,0.14940194087113517,0.6197183098591549,0.5072463768115942,0.5232558139534884,0.02399274089960994,0.02311161791506735
5034,303,1998-05-30,0.18396149119213437,0.5,0.29439933374973976,C,71,monthly,1996-07-25,1,1,1998-10-18,F,1956-01-05,62,5.8319107551487415,114,5.346212814645308,2.0,0.46589610913245083,Novy Jicin,north Moravia,0.10188687687801386,0.033112582781456956,0.5,0.55,0.8,0.9,0.5416036308623299,0.12818776799819454,0.8028169014084507,0.5730211817168339,0.2441860465116279,0.049046064648416786,0.037742188374958005
